"LotFrontage","LotArea","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","MSSubClass.20","MSSubClass.50","MSSubClass.60","MSSubClass.120","MSZoning.RL","MSZoning.RM","Alley.None","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","LandSlope.Gtl","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.NWAmes","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual.4","OverallQual.5","OverallQual.6","OverallQual.7","OverallQual.8","OverallCond.5","OverallCond.6","OverallCond.7","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinType2.Unf","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","Functional.Typ","FireplaceQu.Gd","FireplaceQu.TA","FireplaceQu.None","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.None","GarageYrBlt","GarageFinish.Fin","GarageFinish.RFn","GarageFinish.Unf","GarageFinish.None","GarageQual.TA","GarageQual.None","GarageCond.TA","GarageCond.None","PavedDrive.N","PavedDrive.Y","Fence.MnPrv","Fence.None","MoSold","YrSold","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial","SalePrice"
70,11200,0,906,0,134,1040,1040,0,1040,1,0,1,0,3,5,0,1,384,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1965,1965,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1965,0,0,1,0,1,0,1,0,0,1,0,1,2,2008,0,1,0,1,0,11.7714361601217
85,11924,286,998,0,177,1175,1182,1141.05,2324,1,0,2,0,4,10,2,3,736,147,21,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2005,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,2005,1,0,0,0,1,0,1,0,0,1,0,1,7,2006,1,0,0,0,1,12.6949593617774
74,12968,0,737,0,175,912,912,0,912,1,0,1,0,2,4,0,1,352,140,0,0,160,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1962,1962,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1962,0,0,1,0,1,0,1,0,0,1,0,1,9,2008,0,1,0,1,0,11.8775685785581
91,10652,306,0,0,1468,1494,1494,0,1494,0,0,2,0,3,7,1,3,840,160,33,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,2006,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2006,0,1,0,0,1,0,1,0,0,1,0,1,8,2007,1,0,0,0,1,12.5407575715773
76,10920,212,733,0,520,1253,1253,0,1253,1,0,1,1,2,5,1,1,352,0,175.05,176,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1960,1960,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1960,0,1,0,0,1,0,1,0,0,1,0,0,5,2008,0,1,0,1,0,11.9640010843304
51,6120,0,0,0,832,832,854,0,854,0,0,1,0,2,5,0,2,576,48,112,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1929,2001,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1991,0,0,1,0,1,0,1,0,0,1,0,0,7,2007,0,1,0,1,0,11.7905572015685
76,11241,180,578,0,426,1004,1004,0,1004,1,0,1,0,2,5,1,2,480,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1970,1970,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1970,1,0,0,0,1,0,1,0,0,1,0,1,3,2010,0,1,0,1,0,11.9117015849276
72,10791,0,0,0,0,519.3,1296,0,1296,0,0,2,0,2,6,0,2,516,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1967,1967,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1967,0,0,1,0,1,0,1,0,0,1,0,1,10,2006,0,1,0,1,0,11.4075649493124
66,13695,0,646,0,468,1114,1114,0,1114,1,0,1,1,3,6,0,2,576,0,102,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2004,2004,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,2004,0,0,1,0,1,0,1,0,0,1,0,1,6,2008,0,1,0,1,0,11.9766594812024
70,7560,0,504,0,525,1029,1339,0,1339,0,0,1,0,3,6,0,1,294,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1958,1965,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1958,0,0,1,0,1,0,1,0,0,1,1,0,5,2009,0,0,1,0,0,11.8422292121128
101,14215,380,0,0,1158,1158,1158,1141.05,2376,0,0,2,1,4,9,1,3,850.1,240,154,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2005,2006,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,2005,0,1,0,0,1,0,1,0,0,1,0,1,11,2006,1,0,0,0,1,12.6925031124614
57,7449,0,0,0,637,637,1108,0,1108,0,0,1,0,3,6,1,1,280,0,0,180.15,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1930,1950,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1930,0,0,1,0,1,0,1,0,1,0,0,0,6,2007,0,1,0,1,0,11.8451027773086
75,9742,281,0,0,1468,1753,1795,0,1795,0,0,2,0,3,7,1,2,534,171,159,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2002,2002,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2002,0,1,0,0,1,0,1,0,0,1,0,1,9,2008,0,1,0,1,0,12.3458345879053
44,4224,0,840,0,200,1040,1060,0,1060,1,0,1,0,3,6,1,2,572,100,110,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1976,1976,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1976,0,0,1,0,1,0,1,0,0,1,0,1,6,2007,0,1,0,1,0,11.7745202026587
74,8246,0,188,396.2,204,1060,1060,0,1060,1,0,1,0,3,6,1,1,270,335,90,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1968,2001,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1968,0,0,1,0,1,0,1,0,0,1,1,0,5,2010,0,1,0,1,0,11.9447078813958
104,14230,456,0,0,1468,1566,1600,0,1600,0,0,2,0,3,7,1,3,850.1,0,56,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2007,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2007,0,1,0,0,1,0,1,0,0,1,0,1,7,2009,0,1,0,1,0,12.4541039123522
60,7200,0,234,396.2,180,900,900,0,900,0,1,1,0,3,5,0,2,576,222,32,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1951,2000,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,2005,0,0,1,0,1,0,1,0,0,1,0,1,5,2010,0,1,0,1,0,11.8115474774603
98,11478,200,1218,0,486,1704,1704,0,1704,1,0,2,0,3,7,1,3,772,0,50,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2007,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2007,0,1,0,0,1,0,1,0,0,1,0,1,5,2010,0,1,0,1,0,12.6313403809345
47,16321,0,1274,0,207,1484,1600,0,1600,1,0,1,0,2,6,2,1,319,288,175.05,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1957,1997,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1957,0,1,0,0,1,0,1,0,0,1,0,1,11,2006,0,1,0,1,0,12.2428866186529
60,6324,0,0,0,520,520,672.95,0,848,0,0,1,0,2,4,0,1,240,49,0,87,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1927,1950,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1920,0,0,1,0,0,0,1,0,0,1,0,1,5,2008,0,1,0,1,0,11.3850920934603
50,8500,0,0,0,649,649,672.95,668,1317,0,0,1,0,3,6,0,1,250,0,54,172,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1920,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1920,0,0,1,0,1,0,0,0,1,0,1,0,7,2008,0,1,0,1,0,11.3850920934603
74,8544,0,0,0,1228,1228,1228,0,1228,0,0,1,1,3,6,0,1,271,0,65,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1966,2006,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1966,0,0,1,0,1,0,1,0,0,1,1,0,6,2008,0,1,0,1,0,11.9140478236443
85,11049,0,0,0,1234,1234,1234,0,1234,0,0,2,0,3,7,0,2,484,0,30,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2007,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,2007,0,1,0,0,1,0,1,0,0,1,0,1,2,2008,0,1,0,1,0,12.1001564199386
70,10552,0,1018,0,380,1398,1700,0,1700,0,1,1,1,4,6,1,2,447,0,38,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1959,1959,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1959,0,1,0,0,1,0,1,0,0,1,0,1,4,2010,0,1,0,1,0,12.0167264737993
60,7313,246,1153,0,408,1561,1561,0,1561,1,0,2,0,2,6,1,2,556,203,47,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2005,2005,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,2005,1,0,0,0,1,0,1,0,0,1,0,1,8,2007,0,1,0,1,0,12.5335762121686
104,13418,132,0,0,1117,1117,1132,1141.05,2452,0,0,2,1,4,9,1,3,691,113,32,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2004,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,2004,1,0,0,0,1,0,1,0,0,1,0,1,9,2006,0,1,0,1,0,12.6410965558799
104,10859,0,0,0,1097,1097,1097,0,1097,0,0,1,1,3,6,0,2,672,335,64,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1994,1995,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1995,0,0,1,0,1,0,1,0,0,1,0,1,6,2009,0,1,0,1,0,11.8844890214027
74,8532,456,1213,0,84,1297,1297,0,1297,0,1,1,0,3,5,1,2,498,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1954,1990,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1954,1,0,0,0,1,0,1,0,0,1,0,1,10,2009,0,1,0,1,0,11.9381932003746
